ID,Name_of_Institute,P_or_G,City,Location,Acadmics,Fees,Infrastructure,Placement,Total,Branch
381,GL Bajaj Institute Of Technology & Management,P,Noida,105,109.4,96.6,133.2,104,548.1,CIV
382,Jaipur Engineering College And Research Center,P,Jaipur,105.5,107.7,112.8,119.1,102.7,547.8,CIV
383,J.B.Institute Of Technology,P,Dehradun,115.6,118.6,70,145.6,97.2,547,CIV
384,PES College Of Engineering,P,Mandya,111.8,104.7,105.7,146.1,78.7,546.9,CIV
385,SSN College Of Engineering,P,Kalavakkam,99,100.9,99.4,132.8,112.8,545,CIV
386,Kongu Engg. College,P,Erode,104,114.7,118.3,124.9,83.1,545,CIV
387,Sona College Of Technology,P,Salem,103,119.6,119.8,111.5,89.6,543.5,CIV
388,RMK Engineering College,P,Kavaripettai,114.2,103.2,97.2,125,99.5,539,CIV
389,S.A. Engineering College,P,Chennai,105.3,111.8,101.4,136.4,83.6,538.4,CIV
390,Asia Pacific Inst of Information Tech,P,Panipat,112.7,104.6,81.8,140.7,94.9,534.5,CIV
391,UIET,P,Chandigarh,110.1,121.9,104.9,136,58.9,531.8,CIV
392,Veltech High Tech Engineering College,P,Chennai,132.4,116.6,112.6,113.2,56.3,531.1,CIV
393,CVR College Of Engineering,P,Hyderabad,110.1,121.6,84.7,132.4,80.4,529.3,CIV
394,Kuppam Engineering College,P,Kuppam,107,102,83.2,146.6,90.3,529.1,CIV
395,KLS Gogte Institute Of Technology,P,Belagavi,85,119.2,84.6,130.8,95.1,514.7,CIV
396,Malla Reddy College of Engineering & Technology,P,Secunderabd,108.7,101.2,111.7,122.3,70.7,514.7,CIV
397,VI of Information Technology (BRACTS),P,Pune,119,101.8,86.8,111.6,95.1,514.2,CIV
398,IES College Of Technology,P,Bhopal,100,116.7,87.2,134.3,75.6,513.8,CIV
399,Vishwakarma Institute of Technology,P,Pune,105,100.1,103.4,108.7,95.5,512.6,CIV
400,Institute Of Engg & Tech_ J.K.Lakshmipat Univ,P,Jaipur,80,117.1,112.1,146.1,56.8,512,CIV
401,Shri Shankaracharya Technical Campus,P,Bhilai,97.5,109.8,86,126,92.7,511.9,CIV
402,Madhav Institute of Technology & Science,G,Gwalior,110.3,100.9,107,136.9,56.6,511.6,CIV
403,Sathyabama University,P,Chennai,99.8,106.3,119,126.7,58.1,509.8,CIV
404,IIT,G,Delhi,212,196.1,163,193.7,174,938.8,ENTC
405,IIT Bombay,G,Mumbai,210,188.1,160,199.6,161.7,919.3,ENTC
406,IIT,G,Kharagpur,214,192.2,157,196.5,159.3,919,ENTC
407,IIT Madras,G,Chennai,208,193.1,156,196.6,159,912.8,ENTC
408,IIT,G,Kanpur,208,196.4,154,191,161.5,910.9,ENTC
409,BITS,P,Pilani,184,181.6,156.6,184.6,165.7,872.4,ENTC
410,IIT*,G,Guwahati,179.1,185.8,145.4,181.2,147.2,838.7,ENTC
411,NIT Trichy*,G,Tiruchirapalli,182.1,171.5,148.2,160.3,142,804.1,ENTC
412,NIT Surathkal,G,Mangalore,176.9,169.7,134.7,176.2,146.1,803.5,ENTC
