ID,Name_of_Institute,P_or_G,City,Location,Acadmics,Fees,Infrastructure,Placement,Total,Branch
1,IIT,G,Delhi,212,196.1,163,193.7,174,938.8,CS
2,IIT_Bombay,G,Mumbai,210,188.1,160,199.6,161.7,919.3,CS
3,IIT_B,G,Kharagpur,214,192.2,157,196.5,159.3,919,CS
4,IIT_ Madras,G,Chennai,208,193.1,156,196.6,159,912.8,CS
5,IIT_M,G,Kanpur,208,196.4,154,191,161.5,910.9,CS
6,BITS,P,Pilani,184,181.6,156.6,184.6,165.7,872.4,CS
7,IIT*,G,Guwahati,179.1,185.8,145.4,181.2,147.2,838.7,CS
8,NIT_Trichy*,G,Tiruchirapalli,182.1,171.5,148.2,160.3,142,804.1,CS
9,NIT_Surathkal,G,Mangalore,176.9,169.7,134.7,176.2,146.1,803.5,CS
10,NIT*,G,Warangal,185,158.4,134.5,158.1,128.2,764.2,CS
11,College Of Engineering Guindy,G,Chennai,207.8,162.5,132,131.9,126.6,760.8,CS
12,NSIT*,G,Delhi,151,154.4,134.9,163.5,154.4,758.2,CS
13,DTU,G,Delhi,145,163.6,132,140.4,153,733.9,CS
14,College Of Engineering,G,Pune,164.9,150.3,130.4,148.5,139.4,733.6,CS
15,IIIT,P,Hyderabad,149,153.8,129.8,155.3,143.8,731.6,CS
16,PSG College Of Technology,P,Coimbatore,143.9,147.9,133.4,164.4,125.3,715,CS
17,IIIT_A,G,Allahabad,147.5,152.9,117.6,155.1,139.5,712.6,CS
18,MIT,P,Manipal,163,158.5,126.3,148.9,115,711.7,CS
19,VIT University,P,Vellore,137,143.8,147,152,131,710.8,CS
20,BIT,P,Ranchi,165,151.8,116.2,154.8,116.8,704.6,CS
21,Indian School Of Mines,G,Dhanbad,159,178.8,135.7,112.5,116,702.1,CS
22,University Institute Of Engg. Chandigarh Univ,P,Chandigarh,142,142.8,137.8,154.7,121.3,698.5,CS
23,Thapar University,P,Patiala,142,148.4,130.7,147.5,118.9,687.5,CS
24,VNIT,G,Nagpur,145,151.2,109.9,168.5,108.7,683.3,CS
25,NIE,G,Mysore,142.4,144.9,125,147.9,107.6,667.7,CS
26,BIT Sindri,G,Dhanbad,169,136.6,105.3,147.7,107.4,666,CS
27,NIT*_A,G,Durgapur,162,163.7,106,126.3,102.9,660.9,CS
28,SGS Inst Of Tech & Science,G,Indore,145.9,136.5,104.4,157.5,112.6,656.8,CS
29,Institute Of Technology_ Nirma Universtiy,P,Ahmedabad,143.7,138.9,108.9,138.1,100.5,630,CS
30,University College Of Engineering,G,Hyderabad,112,129.6,113.5,152.5,120.7,628.4,CS
31,Chaitanya Bharathi Institute Of Technology,P,Hyderabad,123,118,118,155.8,104.5,619.2,CS
32,DJ Sanghvi College Of Engineering,P,Mumbai,115,125.7,105.6,123.3,127.2,596.8,CS
33,NMIMS,P,Mumbai,117,128.8,124.3,122.7,103.5,596.3,CS
34,SRM Engineering College,P,Chennai,117,118.8,121.1,127.4,111.6,595.9,CS
35,Guru Nanak Dev Engineering College,G,Ludhiana,130,113.8,121.2,138.8,91,594.9,CS
36,Govt Model Engineering College,G,Kochi,124.3,116.7,121.8,125.1,106.7,594.6,CS
37,Govt College Of Engineering,G,Amravati,127.6,103.1,113.9,145.2,104.7,594.4,CS
38,Thiagarajar College Of Engineering,P,Madurai,131.6,119.3,112.1,127.9,102.7,593.6,CS
39,MIT College Of Engineering,P,Pune,117.1,116,104.7,134.7,113.5,586,CS
40,Bannari Amman Institute Of Technology,P,Erode,120,129.8,120.3,150.6,63.8,584.5,CS
41,BVU College Of Engineering,P,Pune,106,130.8,82.4,145.7,117.4,582.3,CS
42,Rungta College Of Engineering,P,Bhilai,122,129.2,100.4,133.5,91.1,576.1,CS
43,BMS Institute Of Technology & Management,P,Bangalore,128.3,120.2,95.1,142.3,89.4,575.2,CS
44,PES University,P,Bangalore,122,112.8,108.1,133.4,96.6,572.9,CS
45,BMS College Of Engineering,P,Bangalore,124.2,124.8,89.1,130.5,103.8,572.4,CS
46,KLE Dr MS Sheshgiri College Of Engg,P,Belgaum,121.7,116.7,86,153.8,89.2,567.4,CS
47,JNNCE,P,Shimoga,127.1,127,81.8,148.7,81.8,566.4,CS
48,Symbiosis Institute Of Technology,P,Pune,120.3,131.2,90.1,127.3,97.3,566.2,CS
49,School Of Engineering & Technology_ Sharda University,P,Noida,127,128,106,107.9,96.8,565.7,CS
50,K L University,P,Guntur,116,129.4,105.5,140.8,73.3,564.9,CS
51,Faculty Of Engineering_ DIT University,P,Dehradun,117,119.7,92.3,135,100.9,564.8,CS
52,Walchand College Of Engineering,P,Sangli,111.7,127.9,99.7,134.5,90.9,564.6,CS
53,Galgotias College Of Engineering And Technology,P,Noida,126.2,110.6,97.3,133.2,96.1,563.4,CS
54,Sri Sairam Engineering College,P,Chennai,114.4,129.1,91,138.5,89.6,562.5,CS
55,Sri Jayachamarajendra College Of Engineering,G,Mysore,102,123.9,99,134.9,102.2,561.9,CS
56,Sanjivani College Of Engineering,P,Ahmednagar,116,124.3,107.1,136.1,77.8,561.4,CS
57,Cummins College of Engineering for Women,P,Pune,122,126.4,90.1,124.8,96.4,559.6,CS
58,Shri Ramdeobaba College Of Engg,P,Nagpur,115.4,123.9,101,129.8,89,559.1,CS
59,SDM College Of Engineering,P,Dharwad,129,128.7,106.7,110.6,83.8,558.7,CS
60,Sir M Visvesvaraya Institute Of Technology,P,Bangalore,123.5,104.6,103.6,125.8,101.1,558.5,CS
61,MVJ College Of Engineering,P,Bangalore,122.5,111.8,80.3,156,87.7,558.3,CS
62,Army Institute Of Technology,P,Pune,107,111.6,98.3,140.7,100.3,557.8,CS
63,Rajagiri School Of Engineering & Technology,P,Ernakulam,115,113,103.3,135.9,89.7,556.8,CS
64,The Northcap University,P,Gurgaon,110.9,132.6,77.6,129.9,105.5,556.6,CS
65,Muffakham Jah College Of Engineering And Technology,P,Hyderabad,117.9,121.1,96.9,128.3,92.3,556.4,CS
66,National Institute Of Science & Technology,P,Berhampur,110.9,121.2,92.8,140,91.2,556.1,CS
67,Indraprastha Institute Of IT,G,Delhi,109,114.7,96.9,149.2,85.6,555.5,CS
68,SCMS School Of Engineering,P,Ernakulam,105.9,116.4,92.2,137.3,103.6,555.4,CS
69,Lakshmi Narain College Of Technology,P,Bhopal,104,148.9,91,140.2,70.5,554.6,CS
70,Sikkim Manipal Institute Of Technology,P,Sikkim,112.9,107.4,94.7,138.7,100.9,554.6,CS
71,JSS Academy Of Technical Education,P,Bangalore,122,117.4,95,128.4,91.2,553.9,CS
72,Amity School Of Engineering & Technology,P,Noida,115.6,109.4,95.7,123.4,108,552,CS
73,Maharashtra Institute Of Technology,P,Aurangabad,120,107.3,98.6,131,94.9,551.8,CS
74,DY Patil College of Engineering,P,Akrudi,121,109.7,107.5,107.3,106.3,551.8,CS
75,IMS Engineering College,P,Ghaziabad,110,111.6,102.8,125.2,101.3,551,CS
76,JIS College Of Engineering,P,Bengal,126.1,126.4,79.7,100.5,115.8,548.4,CS
77,SS College of Engineering,P,Bangalore,110,109.1,100.3,133.7,95.2,548.3,CS
78,GL Bajaj Institute Of Technology & Management,P,Noida,105,109.4,96.6,133.2,104,548.1,CS
79,Jaipur Engineering College And Research Center,P,Jaipur,105.5,107.7,112.8,119.1,102.7,547.8,CS
80,J.B.Institute Of Technology,P,Dehradun,115.6,118.6,70,145.6,97.2,547,CS
81,PES College Of Engineering,P,Mandya,111.8,104.7,105.7,146.1,78.7,546.9,CS
82,SSN College Of Engineering,P,Kalavakkam,99,100.9,99.4,132.8,112.8,545,CS
83,Kongu Engg. College,P,Erode,104,114.7,118.3,124.9,83.1,545,CS
84,Sona College Of Technology,P,Salem,103,119.6,119.8,111.5,89.6,543.5,CS
85,RMK Engineering College,P,Kavaripettai,114.2,103.2,97.2,125,99.5,539,CS
86,S.A. Engineering College,P,Chennai,105.3,111.8,101.4,136.4,83.6,538.4,CS
87,Asia Pacific Inst of Information Tech,P,Panipat,112.7,104.6,81.8,140.7,94.9,534.5,CS
88,UIET,P,Chandigarh,110.1,121.9,104.9,136,58.9,531.8,CS
89,Veltech High Tech Engineering College,P,Chennai,132.4,116.6,112.6,113.2,56.3,531.1,CS
90,CVR College Of Engineering,P,Hyderabad,110.1,121.6,84.7,132.4,80.4,529.3,CS
91,Kuppam Engineering College,P,Kuppam,107,102,83.2,146.6,90.3,529.1,CS
92,KLS Gogte Institute Of Technology,P,Belagavi,85,119.2,84.6,130.8,95.1,514.7,CS
93,Malla Reddy College of Engineering & Technology,P,Secunderabd,108.7,101.2,111.7,122.3,70.7,514.7,CS
94,VI of Information Technology (BRACTS),P,Pune,119,101.8,86.8,111.6,95.1,514.2,CS
95,IES College Of Technology,P,Bhopal,100,116.7,87.2,134.3,75.6,513.8,CS
96,Vishwakarma Institute of Technology,P,Pune,105,100.1,103.4,108.7,95.5,512.6,CS
97,Institute Of Engg & Tech_ J.K.Lakshmipat Univ,P,Jaipur,80,117.1,112.1,146.1,56.8,512,CS
98,Shri Shankaracharya Technical Campus,P,Bhilai,97.5,109.8,86,126,92.7,511.9,CS
99,Madhav Institute of Technology & Science,G,Gwalior,110.3,100.9,107,136.9,56.6,511.6,CS
100,Sathyabama University,P,Chennai,99.8,106.3,119,126.7,58.1,509.8,CS
101,IIT,G,Delhi,212,196.1,163,193.7,174,938.8,IT
102,IIT Bombay,G,Mumbai,210,188.1,160,199.6,161.7,919.3,IT
103,IIT,G,Kharagpur,214,192.2,157,196.5,159.3,919,IT
104,IIT  Madras,G,Chennai,208,193.1,156,196.6,159,912.8,IT
105,IIT,G,Kanpur,208,196.4,154,191,161.5,910.9,IT
106,BITS,P,Pilani,184,181.6,156.6,184.6,165.7,872.4,IT
107,IIT*,G,Guwahati,179.1,185.8,145.4,181.2,147.2,838.7,IT
108,NIT Trichy*,G,Tiruchirapalli,182.1,171.5,148.2,160.3,142,804.1,IT
109,NIT Surathkal,G,Mangalore,176.9,169.7,134.7,176.2,146.1,803.5,IT
110,NIT*,G,Warangal,185,158.4,134.5,158.1,128.2,764.2,IT
111,College Of Engineering_ Guindy,G,Chennai,207.8,162.5,132,131.9,126.6,760.8,IT
112,NSIT*,G,Delhi,151,154.4,134.9,163.5,154.4,758.2,IT
113,DTU,G,Delhi,145,163.6,132,140.4,153,733.9,IT
114,College Of Engineering,G,Pune,164.9,150.3,130.4,148.5,139.4,733.6,IT
115,IIIT,P,Hyderabad,149,153.8,129.8,155.3,143.8,731.6,IT
116,PSG College Of Technology,P,Coimbatore,143.9,147.9,133.4,164.4,125.3,715,IT
117,IIIT,G,Allahabad,147.5,152.9,117.6,155.1,139.5,712.6,IT
118,MIT,P,Manipal,163,158.5,126.3,148.9,115,711.7,IT
119,VIT University,P,Vellore,137,143.8,147,152,131,710.8,IT
120,BIT,P,Ranchi,165,151.8,116.2,154.8,116.8,704.6,IT
121,Indian School Of Mines,G,Dhanbad,159,178.8,135.7,112.5,116,702.1,IT
122,University Institute Of Engg. Chandigarh Univ,P,Chandigarh,142,142.8,137.8,154.7,121.3,698.5,IT
123,Thapar University,P,Patiala,142,148.4,130.7,147.5,118.9,687.5,IT
124,VNIT,G,Nagpur,145,151.2,109.9,168.5,108.7,683.3,IT
125,NIE,G,Mysore,142.4,144.9,125,147.9,107.6,667.7,IT
126,BIT Sindri,G,Dhanbad,169,136.6,105.3,147.7,107.4,666,IT
127,NIT*,G,Durgapur,162,163.7,106,126.3,102.9,660.9,IT
128,SGS Inst Of Tech & Science,G,Indore,145.9,136.5,104.4,157.5,112.6,656.8,IT
129,Institute Of Technology_ Nirma Universtiy,P,Ahmedabad,143.7,138.9,108.9,138.1,100.5,630,IT
130,University College Of Engineering,G,Hyderabad,112,129.6,113.5,152.5,120.7,628.4,IT
131,Chaitanya Bharathi Institute Of Technology,P,Hyderabad,123,118,118,155.8,104.5,619.2,IT
132,DJ Sanghvi College Of Engineering,P,Mumbai,115,125.7,105.6,123.3,127.2,596.8,IT
133,NMIMS,P,Mumbai,117,128.8,124.3,122.7,103.5,596.3,IT
134,SRM Engineering College,P,Chennai,117,118.8,121.1,127.4,111.6,595.9,IT
135,Guru Nanak Dev Engineering College,G,Ludhiana,130,113.8,121.2,138.8,91,594.9,IT
136,Govt Model Engineering College,G,Kochi,124.3,116.7,121.8,125.1,106.7,594.6,IT
137,Govt College Of Engineering,G,Amravati,127.6,103.1,113.9,145.2,104.7,594.4,IT
138,Thiagarajar College Of Engineering,P,Madurai,131.6,119.3,112.1,127.9,102.7,593.6,IT
139,MIT College Of Engineering,P,Pune,117.1,116,104.7,134.7,113.5,586,IT
140,Bannari Amman Institute Of Technology,P,Erode,120,129.8,120.3,150.6,63.8,584.5,IT
141,BVU College Of Engineering,P,Pune,106,130.8,82.4,145.7,117.4,582.3,IT
142,Kongu Engineering College,P,Erode,104.1,123.7,118.3,138.9,91.1,576.1,IT
143,Rungta College Of Engineering,P,Bhilai,122,129.2,100.4,133.5,91.1,576.1,IT
144,BMS Institute Of Technology & Management,P,Bangalore,128.3,120.2,95.1,142.3,89.4,575.2,IT
145,PES University,P,Bangalore,122,112.8,108.1,133.4,96.6,572.9,IT
146,BMS College Of Engineering,P,Bangalore,124.2,124.8,89.1,130.5,103.8,572.4,IT
147,KLE Dr MS Sheshgiri College Of Engg,P,Belgaum,121.7,116.7,86,153.8,89.2,567.4,IT
148,JNNCE,P,Shimoga,127.1,127,81.8,148.7,81.8,566.4,IT
149,Symbiosis Institute Of Technology,P,Pune,120.3,131.2,90.1,127.3,97.3,566.2,IT
150,School Of Engineering & Technology_ Sharda University,P,Noida,127,128,106,107.9,96.8,565.7,IT
151,K L University,P,Guntur,116,129.4,105.5,140.8,73.3,564.9,IT
152,Faculty Of Engineering_ DIT University,P,Dehradun,117,119.7,92.3,135,100.9,564.8,IT
153,Walchand College Of Engineering,P,Sangli,111.7,127.9,99.7,134.5,90.9,564.6,IT
154,Galgotias College Of Engineering And Technology,P,Noida,126.2,110.6,97.3,133.2,96.1,563.4,IT
155,Sri Sairam Engineering College,P,Chennai,114.4,129.1,91,138.5,89.6,562.5,IT
156,Sri Jayachamarajendra College Of Engineering,G,Mysore,102,123.9,99,134.9,102.2,561.9,IT
157,Sanjivani College Of Engineering,P,Ahmednagar,116,124.3,107.1,136.1,77.8,561.4,IT
158,Cummins College of Engineering for Women,P,Pune,122,126.4,90.1,124.8,96.4,559.6,IT
159,Shri Ramdeobaba College Of Engg,P,Nagpur,115.4,123.9,101,129.8,89,559.1,IT
160,SDM College Of Engineering,P,Dharwad,129,128.7,106.7,110.6,83.8,558.7,IT
161,Sir M Visvesvaraya Institute Of Technology,P,Bangalore,123.5,104.6,103.6,125.8,101.1,558.5,IT
162,MVJ College Of Engineering,P,Bangalore,122.5,111.8,80.3,156,87.7,558.3,IT
163,Army Institute Of Technology,P,Pune,107,111.6,98.3,140.7,100.3,557.8,IT
164,Rajagiri School Of Engineering & Technology,P,Ernakulam,115,113,103.3,135.9,89.7,556.8,IT
165,The Northcap University,P,Gurgaon,110.9,132.6,77.6,129.9,105.5,556.6,IT
166,Muffakham Jah College Of Engineering And Technology,P,Hyderabad,117.9,121.1,96.9,128.3,92.3,556.4,IT
167,National Institute Of Science & Technology,P,Berhampur,110.9,121.2,92.8,140,91.2,556.1,IT
168,Indraprastha Institute Of IT,G,Delhi,109,114.7,96.9,149.2,85.6,555.5,IT
169,SCMS School Of Engineering,P,Ernakulam,105.9,116.4,92.2,137.3,103.6,555.4,IT
170,Lakshmi Narain College Of Technology,P,Bhopal,104,148.9,91,140.2,70.5,554.6,IT
171,Sikkim Manipal Institute Of Technology,P,Sikkim,112.9,107.4,94.7,138.7,100.9,554.6,IT
172,JSS Academy Of Technical Education,P,Bangalore,122,117.4,95,128.4,91.2,553.9,IT
173,Amity School Of Engineering & Technology,P,Noida,115.6,109.4,95.7,123.4,108,552,IT
174,Maharashtra Institute Of Technology,P,Aurangabad,120,107.3,98.6,131,94.9,551.8,IT
175,DY Patil College of Engineering,P,Akrudi,121,109.7,107.5,107.3,106.3,551.8,IT
176,IMS Engineering College,P,Ghaziabad,110,111.6,102.8,125.2,101.3,551,IT
177,JIS College Of Engineering,P,Bengal,126.1,126.4,79.7,100.5,115.8,548.4,IT
178,SS College of Engineering,P,Bangalore,110,109.1,100.3,133.7,95.2,548.3,IT
179,GL Bajaj Institute Of Technology & Management,P,Noida,105,109.4,96.6,133.2,104,548.1,IT
180,Jaipur Engineering College And Research Center,P,Jaipur,105.5,107.7,112.8,119.1,102.7,547.8,IT
181,J.B.Institute Of Technology,P,Dehradun,115.6,118.6,70,145.6,97.2,547,IT
182,PES College Of Engineering,P,Mandya,111.8,104.7,105.7,146.1,78.7,546.9,IT
183,SSN College Of Engineering,P,Kalavakkam,99,100.9,99.4,132.8,112.8,545,IT
184,Kongu Engg. College,P,Erode,104,114.7,118.3,124.9,83.1,545,IT
185,Sona College Of Technology,P,Salem,103,119.6,119.8,111.5,89.6,543.5,IT
186,RMK Engineering College,P,Kavaripettai,114.2,103.2,97.2,125,99.5,539,IT
187,S.A. Engineering College,P,Chennai,105.3,111.8,101.4,136.4,83.6,538.4,IT
188,Asia Pacific Inst of Information Tech,P,Panipat,112.7,104.6,81.8,140.7,94.9,534.5,IT
189,UIET,P,Chandigarh,110.1,121.9,104.9,136,58.9,531.8,IT
190,Veltech High Tech Engineering College,P,Chennai,132.4,116.6,112.6,113.2,56.3,531.1,IT
191,CVR College Of Engineering,P,Hyderabad,110.1,121.6,84.7,132.4,80.4,529.3,IT
192,Kuppam Engineering College,P,Kuppam,107,102,83.2,146.6,90.3,529.1,IT
193,KLS Gogte Institute Of Technology,P,Belagavi,85,119.2,84.6,130.8,95.1,514.7,IT
194,Malla Reddy College of Engineering & Technology,P,Secunderabd,108.7,101.2,111.7,122.3,70.7,514.7,IT
195,VI of Information Technology (BRACTS),P,Pune,119,101.8,86.8,111.6,95.1,514.2,IT
196,IES College Of Technology,P,Bhopal,100,116.7,87.2,134.3,75.6,513.8,IT
197,Vishwakarma Institute of Technology,P,Pune,105,100.1,103.4,108.7,95.5,512.6,IT
198,Institute Of Engg & Tech_ J.K.Lakshmipat Univ,P,Jaipur,80,117.1,112.1,146.1,56.8,512,IT
199,Shri Shankaracharya Technical Campus,P,Bhilai,97.5,109.8,86,126,92.7,511.9,IT
200,Madhav Institute of Technology & Science,G,Gwalior,110.3,100.9,107,136.9,56.6,511.6,IT
201,Sathyabama University,P,Chennai,99.8,106.3,119,126.7,58.1,509.8,IT
202,IIT,G,Delhi,212,196.1,163,193.7,174,938.8,MECH
203,IIT Bombay,G,Mumbai,210,188.1,160,199.6,161.7,919.3,MECH
204,IIT,G,Kharagpur,214,192.2,157,196.5,159.3,919,MECH
205,IIT Madras,G,Chennai,208,193.1,156,196.6,159,912.8,MECH
206,IIT,G,Kanpur,208,196.4,154,191,161.5,910.9,MECH
207,BITS,P,Pilani,184,181.6,156.6,184.6,165.7,872.4,MECH
208,IIT*,G,Guwahati,179.1,185.8,145.4,181.2,147.2,838.7,MECH
209,NIT Trichy*,G,Tiruchirapalli,182.1,171.5,148.2,160.3,142,804.1,MECH
210,NIT Surathkal,G,Mangalore,176.9,169.7,134.7,176.2,146.1,803.5,MECH
211,NIT*,G,Warangal,185,158.4,134.5,158.1,128.2,764.2,MECH
212,College Of Engineering_ Guindy,G,Chennai,207.8,162.5,132,131.9,126.6,760.8,MECH
213,NSIT*,G,Delhi,151,154.4,134.9,163.5,154.4,758.2,MECH
214,DTU,G,Delhi,145,163.6,132,140.4,153,733.9,MECH
215,College Of Engineering,G,Pune,164.9,150.3,130.4,148.5,139.4,733.6,MECH
216,IIIT,P,Hyderabad,149,153.8,129.8,155.3,143.8,731.6,MECH
217,PSG College Of Technology,P,Coimbatore,143.9,147.9,133.4,164.4,125.3,715,MECH
218,IIIT,G,Allahabad,147.5,152.9,117.6,155.1,139.5,712.6,MECH
219,MIT,P,Manipal,163,158.5,126.3,148.9,115,711.7,MECH
220,VIT University,P,Vellore,137,143.8,147,152,131,710.8,MECH
221,BIT,P,Ranchi,165,151.8,116.2,154.8,116.8,704.6,MECH
222,Indian School Of Mines,G,Dhanbad,159,178.8,135.7,112.5,116,702.1,MECH
223,University Institute Of Engg. Chandigarh Univ,P,Chandigarh,142,142.8,137.8,154.7,121.3,698.5,MECH
224,Thapar University,P,Patiala,142,148.4,130.7,147.5,118.9,687.5,MECH
225,VNIT,G,Nagpur,145,151.2,109.9,168.5,108.7,683.3,MECH
226,NIE,G,Mysore,142.4,144.9,125,147.9,107.6,667.7,MECH
227,BIT Sindri,G,Dhanbad,169,136.6,105.3,147.7,107.4,666,MECH
228,NIT*,G,Durgapur,162,163.7,106,126.3,102.9,660.9,MECH
229,SGS Inst Of Tech & Science,G,Indore,145.9,136.5,104.4,157.5,112.6,656.8,MECH
230,Institute Of Technology_ Nirma Universtiy,P,Ahmedabad,143.7,138.9,108.9,138.1,100.5,630,MECH
231,University College Of Engineering,G,Hyderabad,112,129.6,113.5,152.5,120.7,628.4,MECH
232,Chaitanya Bharathi Institute Of Technology,P,Hyderabad,123,118,118,155.8,104.5,619.2,MECH
233,DJ Sanghvi College Of Engineering,P,Mumbai,115,125.7,105.6,123.3,127.2,596.8,MECH
234,NMIMS,P,Mumbai,117,128.8,124.3,122.7,103.5,596.3,MECH
235,SRM Engineering College,P,Chennai,117,118.8,121.1,127.4,111.6,595.9,MECH
236,Guru Nanak Dev Engineering College,G,Ludhiana,130,113.8,121.2,138.8,91,594.9,MECH
237,Govt Model Engineering College,G,Kochi,124.3,116.7,121.8,125.1,106.7,594.6,MECH
238,Govt College Of Engineering,G,Amravati,127.6,103.1,113.9,145.2,104.7,594.4,MECH
239,Thiagarajar College Of Engineering,P,Madurai,131.6,119.3,112.1,127.9,102.7,593.6,MECH
240,MIT College Of Engineering,P,Pune,117.1,116,104.7,134.7,113.5,586,MECH
241,Bannari Amman Institute Of Technology,P,Erode,120,129.8,120.3,150.6,63.8,584.5,MECH
242,BVU College Of Engineering,P,Pune,106,130.8,82.4,145.7,117.4,582.3,MECH
243,Kongu Engineering College,P,Erode,104.1,123.7,118.3,138.9,91.1,576.1,MECH
244,Rungta College Of Engineering,P,Bhilai,122,129.2,100.4,133.5,91.1,576.1,MECH
245,BMS Institute Of Technology & Management,P,Bangalore,128.3,120.2,95.1,142.3,89.4,575.2,MECH
246,PES University,P,Bangalore,122,112.8,108.1,133.4,96.6,572.9,MECH
247,BMS College Of Engineering,P,Bangalore,124.2,124.8,89.1,130.5,103.8,572.4,MECH
248,KLE Dr MS Sheshgiri College Of Engg,P,Belgaum,121.7,116.7,86,153.8,89.2,567.4,MECH
249,JNNCE,P,Shimoga,127.1,127,81.8,148.7,81.8,566.4,MECH
250,Symbiosis Institute Of Technology,P,Pune,120.3,131.2,90.1,127.3,97.3,566.2,MECH
251,School Of Engineering & Technology_ Sharda University,P,Noida,127,128,106,107.9,96.8,565.7,MECH
252,K L University,P,Guntur,116,129.4,105.5,140.8,73.3,564.9,MECH
253,Faculty Of Engineering_ DIT University,P,Dehradun,117,119.7,92.3,135,100.9,564.8,MECH
254,Walchand College Of Engineering,P,Sangli,111.7,127.9,99.7,134.5,90.9,564.6,MECH
255,Galgotias College Of Engineering And Technology,P,Noida,126.2,110.6,97.3,133.2,96.1,563.4,MECH
256,Sri Sairam Engineering College,P,Chennai,114.4,129.1,91,138.5,89.6,562.5,MECH
257,Sri Jayachamarajendra College Of Engineering,G,Mysore,102,123.9,99,134.9,102.2,561.9,MECH
258,Sanjivani College Of Engineering,P,Ahmednagar,116,124.3,107.1,136.1,77.8,561.4,MECH
259,Cummins College of Engineering for Women,P,Pune,122,126.4,90.1,124.8,96.4,559.6,MECH
260,Shri Ramdeobaba College Of Engg,P,Nagpur,115.4,123.9,101,129.8,89,559.1,MECH
261,SDM College Of Engineering,P,Dharwad,129,128.7,106.7,110.6,83.8,558.7,MECH
262,Sir M Visvesvaraya Institute Of Technology,P,Bangalore,123.5,104.6,103.6,125.8,101.1,558.5,MECH
263,MVJ College Of Engineering,P,Bangalore,122.5,111.8,80.3,156,87.7,558.3,MECH
264,Army Institute Of Technology,P,Pune,107,111.6,98.3,140.7,100.3,557.8,MECH
265,Rajagiri School Of Engineering & Technology,P,Ernakulam,115,113,103.3,135.9,89.7,556.8,MECH
266,The Northcap University,P,Gurgaon,110.9,132.6,77.6,129.9,105.5,556.6,MECH
267,Muffakham Jah College Of Engineering And Technology,P,Hyderabad,117.9,121.1,96.9,128.3,92.3,556.4,MECH
268,National Institute Of Science & Technology,P,Berhampur,110.9,121.2,92.8,140,91.2,556.1,MECH
269,Indraprastha Institute Of IT,G,Delhi,109,114.7,96.9,149.2,85.6,555.5,MECH
270,SCMS School Of Engineering,P,Ernakulam,105.9,116.4,92.2,137.3,103.6,555.4,MECH
271,Lakshmi Narain College Of Technology,P,Bhopal,104,148.9,91,140.2,70.5,554.6,MECH
272,Sikkim Manipal Institute Of Technology,P,Sikkim,112.9,107.4,94.7,138.7,100.9,554.6,MECH
273,JSS Academy Of Technical Education,P,Bangalore,122,117.4,95,128.4,91.2,553.9,MECH
274,Amity School Of Engineering & Technology,P,Noida,115.6,109.4,95.7,123.4,108,552,MECH
275,Maharashtra Institute Of Technology,P,Aurangabad,120,107.3,98.6,131,94.9,551.8,MECH
276,DY Patil College of Engineering,P,Akrudi,121,109.7,107.5,107.3,106.3,551.8,MECH
277,IMS Engineering College,P,Ghaziabad,110,111.6,102.8,125.2,101.3,551,MECH
278,JIS College Of Engineering,P,Bengal,126.1,126.4,79.7,100.5,115.8,548.4,MECH
279,SS College of Engineering,P,Bangalore,110,109.1,100.3,133.7,95.2,548.3,MECH
280,GL Bajaj Institute Of Technology & Management,P,Noida,105,109.4,96.6,133.2,104,548.1,MECH
281,Jaipur Engineering College And Research Center,P,Jaipur,105.5,107.7,112.8,119.1,102.7,547.8,MECH
282,J.B.Institute Of Technology,P,Dehradun,115.6,118.6,70,145.6,97.2,547,MECH
283,PES College Of Engineering,P,Mandya,111.8,104.7,105.7,146.1,78.7,546.9,MECH
284,SSN College Of Engineering,P,Kalavakkam,99,100.9,99.4,132.8,112.8,545,MECH
285,Kongu Engg. College,P,Erode,104,114.7,118.3,124.9,83.1,545,MECH
286,Sona College Of Technology,P,Salem,103,119.6,119.8,111.5,89.6,543.5,MECH
287,RMK Engineering College,P,Kavaripettai,114.2,103.2,97.2,125,99.5,539,MECH
288,S.A. Engineering College,P,Chennai,105.3,111.8,101.4,136.4,83.6,538.4,MECH
289,Asia Pacific Inst of Information Tech,P,Panipat,112.7,104.6,81.8,140.7,94.9,534.5,MECH
290,UIET,P,Chandigarh,110.1,121.9,104.9,136,58.9,531.8,MECH
291,Veltech High Tech Engineering College,P,Chennai,132.4,116.6,112.6,113.2,56.3,531.1,MECH
292,CVR College Of Engineering,P,Hyderabad,110.1,121.6,84.7,132.4,80.4,529.3,MECH
293,Kuppam Engineering College,P,Kuppam,107,102,83.2,146.6,90.3,529.1,MECH
294,KLS Gogte Institute Of Technology,P,Belagavi,85,119.2,84.6,130.8,95.1,514.7,MECH
295,Malla Reddy College of Engineering & Technology,P,Secunderabd,108.7,101.2,111.7,122.3,70.7,514.7,MECH
296,VI of Information Technology (BRACTS),P,Pune,119,101.8,86.8,111.6,95.1,514.2,MECH
297,IES College Of Technology,P,Bhopal,100,116.7,87.2,134.3,75.6,513.8,MECH
298,Vishwakarma Institute of Technology,P,Pune,105,100.1,103.4,108.7,95.5,512.6,MECH
299,Institute Of Engg & Tech_ J.K.Lakshmipat Univ,P,Jaipur,80,117.1,112.1,146.1,56.8,512,MECH
300,Shri Shankaracharya Technical Campus,P,Bhilai,97.5,109.8,86,126,92.7,511.9,MECH
